               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.010213,           0.0039678,                   0,              0.9916,             0.95504,             0.97987,             0.83785,            0.012033,           0.0049487,                   0,             0.00778,             0.00778,             0.00778
                  39,              0.0101,           0.0040195,                   0,              0.9861,             0.96304,             0.98825,             0.83667,            0.012609,            0.004369,                   0,             0.00772,             0.00772,             0.00772
                  40,            0.009795,           0.0037724,                   0,             0.99074,              0.9624,             0.98415,             0.83044,             0.01362,           0.0046223,                   0,             0.00766,             0.00766,             0.00766
                  41,           0.0097183,           0.0038369,                   0,              0.9969,             0.96289,             0.98702,             0.82684,            0.013837,           0.0045959,                   0,              0.0076,              0.0076,              0.0076
                  42,           0.0098549,           0.0037006,                   0,             0.98933,             0.96004,             0.98624,              0.8385,            0.013335,           0.0046755,                   0,             0.00754,             0.00754,             0.00754
                  43,           0.0096367,           0.0036883,                   0,             0.99378,              0.9571,             0.98297,             0.84487,            0.012654,           0.0048934,                   0,             0.00748,             0.00748,             0.00748
                  44,           0.0097399,           0.0038159,                   0,             0.99688,              0.9584,             0.98307,             0.83201,            0.013242,           0.0050387,                   0,             0.00742,             0.00742,             0.00742
                  45,           0.0096202,           0.0038331,                   0,             0.98785,             0.95305,             0.98236,              0.8331,            0.013589,           0.0048073,                   0,             0.00736,             0.00736,             0.00736
                  46,            0.009787,           0.0037049,                   0,             0.99703,             0.95904,              0.9849,             0.82161,            0.013867,           0.0047484,                   0,              0.0073,              0.0073,              0.0073
                  47,           0.0094758,           0.0036251,                   0,              0.9949,             0.96004,             0.98717,             0.84251,             0.01231,           0.0045278,                   0,             0.00724,             0.00724,             0.00724
                  48,           0.0094886,           0.0036309,                   0,             0.99689,             0.96138,             0.98531,             0.80897,            0.013578,           0.0046745,                   0,             0.00718,             0.00718,             0.00718
                  49,           0.0096957,           0.0035745,                   0,             0.99495,             0.96603,             0.98462,             0.82973,             0.01274,           0.0045574,                   0,             0.00712,             0.00712,             0.00712
                  50,           0.0093806,           0.0035799,                   0,             0.98767,             0.96001,             0.98433,             0.82982,            0.012303,           0.0045718,                   0,             0.00706,             0.00706,             0.00706
                  51,           0.0096673,            0.003785,                   0,             0.98856,             0.95504,             0.98235,             0.83492,            0.012182,           0.0045941,                   0,               0.007,               0.007,               0.007
                  52,           0.0095378,           0.0036557,                   0,             0.99691,             0.96544,             0.98667,             0.82488,            0.012433,           0.0047238,                   0,             0.00694,             0.00694,             0.00694
                  53,           0.0093437,           0.0035845,                   0,             0.99792,             0.96062,             0.98553,             0.83883,             0.01244,           0.0046899,                   0,             0.00688,             0.00688,             0.00688
                  54,           0.0096017,           0.0037677,                   0,             0.99517,             0.95504,             0.98316,             0.83983,             0.01234,           0.0052226,                   0,             0.00682,             0.00682,             0.00682
                  55,           0.0093541,           0.0037053,                   0,              0.9957,             0.97303,             0.99181,             0.83043,            0.012496,           0.0043684,                   0,             0.00676,             0.00676,             0.00676
                  56,           0.0094296,           0.0038096,                   0,             0.99485,             0.96584,             0.99023,             0.84805,            0.012436,           0.0043393,                   0,              0.0067,              0.0067,              0.0067
                  57,           0.0093543,           0.0038396,                   0,             0.99518,             0.95305,             0.98134,             0.82998,            0.012874,           0.0051559,                   0,             0.00664,             0.00664,             0.00664
                  58,           0.0091887,           0.0035019,                   0,             0.99579,             0.94426,              0.9808,             0.84385,            0.012906,            0.005333,                   0,             0.00658,             0.00658,             0.00658
                  59,           0.0093714,           0.0037201,                   0,             0.99683,             0.94188,               0.977,             0.85038,            0.012157,           0.0056171,                   0,             0.00652,             0.00652,             0.00652
                  60,           0.0091667,           0.0037507,                   0,             0.99689,             0.95924,              0.9838,             0.84827,            0.012701,           0.0048111,                   0,             0.00646,             0.00646,             0.00646
                  61,           0.0090038,           0.0034497,                   0,             0.99392,             0.95005,             0.97619,             0.83973,            0.013024,           0.0053709,                   0,              0.0064,              0.0064,              0.0064
                  62,           0.0091342,           0.0036152,                   0,             0.99474,             0.95504,             0.98115,             0.83796,            0.012837,           0.0051663,                   0,             0.00634,             0.00634,             0.00634
                  63,           0.0091623,           0.0035974,                   0,             0.99586,             0.96133,             0.98524,             0.81962,             0.01277,           0.0047452,                   0,             0.00628,             0.00628,             0.00628
                  64,           0.0089243,           0.0036226,                   0,             0.99691,              0.9672,             0.98989,             0.84536,            0.011676,           0.0042636,                   0,             0.00622,             0.00622,             0.00622
